"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6899","Validate the ndr test reports analysis summary","chromium","Mon Jun 23 13:10:38 IST 2025","passed","Mon Jun 23 13:10:45 IST 2025","","steps/ndrTestReportsAnalysisSummary.spec.js","",""
"","6107","validate the test threats DDoS Detection","firefox","Mon Jun 23 13:12:31 IST 2025","passed","Mon Jun 23 13:12:38 IST 2025","","steps/ndrTestThreatsDDoSDetection.spec.js","",""
"","4249","Validate dashboard reports menu buttons","firefox","Mon Jun 23 13:11:27 IST 2025","passed","Mon Jun 23 13:11:32 IST 2025","","steps/ndrTestDashboardReports.spec.js","",""
"","3850","Validate ndr test login with correct credentials","firefox","Mon Jun 23 13:12:14 IST 2025","passed","Mon Jun 23 13:12:18 IST 2025","","steps/ndrTestLogin.spec.js","",""
"","12854","Validate live realtime globe menu buttons","edge","Mon Jun 23 13:17:10 IST 2025","passed","Mon Jun 23 13:17:23 IST 2025","","steps/ndrTestLiveRealtimeGlobe.spec.js","",""
"","2825","validate the dashboard Security menu","firefox","Mon Jun 23 13:11:32 IST 2025","passed","Mon Jun 23 13:11:34 IST 2025","","steps/ndrTestDashboardSecurity.spec.js","",""
"","2592","Validate dashboard reports menu buttons","chromium","Mon Jun 23 13:09:52 IST 2025","passed","Mon Jun 23 13:09:54 IST 2025","","steps/ndrTestDashboardReports.spec.js","",""
"","5138","validate the test threats DDoS Detection","chromium","Mon Jun 23 13:10:50 IST 2025","passed","Mon Jun 23 13:10:55 IST 2025","","steps/ndrTestThreatsDDoSDetection.spec.js","",""
"","8807","validate the test reports traffic summary","edge","Mon Jun 23 13:18:04 IST 2025","passed","Mon Jun 23 13:18:13 IST 2025","","steps/ndrTestReportsTrafficSummary.spec.js","",""
"","4874","Validate dashboard malware menu buttons","chromium","Mon Jun 23 13:09:47 IST 2025","passed","Mon Jun 23 13:09:52 IST 2025","","steps/ndrTestDashboardMalware.spec.js","",""
"","18960","validate the test reports traffic summary","webkit","Mon Jun 23 13:16:04 IST 2025","passed","Mon Jun 23 13:16:23 IST 2025","","steps/ndrTestReportsTrafficSummary.spec.js","",""
"","6463","Validate dashboard malware menu buttons","edge","Mon Jun 23 13:16:59 IST 2025","passed","Mon Jun 23 13:17:05 IST 2025","","steps/ndrTestDashboardMalware.spec.js","",""
"","6122","validate the test reports traffic summary","firefox","Mon Jun 23 13:12:25 IST 2025","passed","Mon Jun 23 13:12:31 IST 2025","","steps/ndrTestReportsTrafficSummary.spec.js","",""
"","7311","validate the test threats DDoS Detection","edge","Mon Jun 23 13:18:13 IST 2025","passed","Mon Jun 23 13:18:21 IST 2025","","steps/ndrTestThreatsDDoSDetection.spec.js","",""
"","6432","Validate menu buttons","chromium","Mon Jun 23 13:09:40 IST 2025","failed","Mon Jun 23 13:09:46 IST 2025","","steps/ndrTestDashboardHome.spec.js","",""
"","4125","Validate the test reports behavioral analytics","chromium","Mon Jun 23 13:09:28 IST 2025","passed","Mon Jun 23 13:09:32 IST 2025","","ndrTestReportsBehavioralAnalytics.spec.js","",""
"","15500","Validate the ndr test reports analysis summary","webkit","Mon Jun 23 13:15:49 IST 2025","passed","Mon Jun 23 13:16:04 IST 2025","","steps/ndrTestReportsAnalysisSummary.spec.js","",""
"","7869","Validate live Threat Map page","edge","Mon Jun 23 13:17:23 IST 2025","passed","Mon Jun 23 13:17:31 IST 2025","","steps/ndrTestLiveThreatMap.spec.js","",""
"","8709","Validate dashboard malware menu buttons","firefox","Mon Jun 23 13:11:18 IST 2025","passed","Mon Jun 23 13:11:27 IST 2025","","steps/ndrTestDashboardMalware.spec.js","",""
"","10611","Validate the Test Live Traffic","chromium","Mon Jun 23 13:10:11 IST 2025","passed","Mon Jun 23 13:10:21 IST 2025","","steps/ndrTestLiveTraffic.spec.js","",""
"","2778","Validate test administration accounts menu buttons","edge","Mon Jun 23 13:16:48 IST 2025","passed","Mon Jun 23 13:16:51 IST 2025","","steps/ndrTestAdministrationManagement.spec.js","",""
"","3947","Validate test administration accounts menu buttons","firefox","Mon Jun 23 13:11:02 IST 2025","passed","Mon Jun 23 13:11:06 IST 2025","","steps/ndrTestAdministrationAccounts.spec.js","",""
"","17127","Validate live Threat Map page","webkit","Mon Jun 23 13:14:48 IST 2025","passed","Mon Jun 23 13:15:05 IST 2025","","steps/ndrTestLiveThreatMap.spec.js","",""
"","19783","Validate the test reports behavioral analytics","webkit","Mon Jun 23 13:12:40 IST 2025","passed","Mon Jun 23 13:13:00 IST 2025","","ndrTestReportsBehavioralAnalytics.spec.js","",""
"","13373","Validate the test Live Traffic Map page","firefox","Mon Jun 23 13:12:00 IST 2025","passed","Mon Jun 23 13:12:14 IST 2025","","steps/ndrTestLiveTrafficMap.spec.js","",""
"","13247","Validate the test Live Traffic Map page","chromium","Mon Jun 23 13:10:21 IST 2025","passed","Mon Jun 23 13:10:34 IST 2025","","steps/ndrTestLiveTrafficMap.spec.js","",""
"","4402","Validate the test reports behavioral analytics","edge","Mon Jun 23 13:16:40 IST 2025","passed","Mon Jun 23 13:16:45 IST 2025","","ndrTestReportsBehavioralAnalytics.spec.js","",""
"","3494","Validate ndr test login with correct credentials","chromium","Mon Jun 23 13:10:34 IST 2025","passed","Mon Jun 23 13:10:38 IST 2025","","steps/ndrTestLogin.spec.js","",""
"","2140","Validate ndr test login with correct credentials","webkit","Mon Jun 23 13:15:46 IST 2025","passed","Mon Jun 23 13:15:49 IST 2025","","steps/ndrTestLogin.spec.js","",""
"","7742","Validate the ndr test reports analysis summary","firefox","Mon Jun 23 13:12:18 IST 2025","passed","Mon Jun 23 13:12:25 IST 2025","","steps/ndrTestReportsAnalysisSummary.spec.js","",""
"","11269","Validate the Test Live Traffic","firefox","Mon Jun 23 13:11:49 IST 2025","passed","Mon Jun 23 13:12:00 IST 2025","","steps/ndrTestLiveTraffic.spec.js","",""
"","2742","Validate dashboard reports menu buttons","edge","Mon Jun 23 13:17:05 IST 2025","passed","Mon Jun 23 13:17:08 IST 2025","","steps/ndrTestDashboardReports.spec.js","",""
